dataset,model,n_seeds,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall_mean,diagnostics_pred_pos_overall_std,diagnostics_pred_pos_S0_mean,diagnostics_pred_pos_S0_std,diagnostics_pred_pos_S1_mean,diagnostics_pred_pos_S1_std,diagnostics_TPR_S0_mean,diagnostics_TPR_S0_std,diagnostics_TPR_S1_mean,diagnostics_TPR_S1_std,diagnostics_FPR_S0_mean,diagnostics_FPR_S0_std,diagnostics_FPR_S1_mean,diagnostics_FPR_S1_std
bail,GAT,50,1889,906,983,374,342,374,342,532,641,0.4964,0.4842,0.4973,0.4842,0.4955,0.4842,0.5004,0.4826,0.4989,0.4816,0.4951,0.4883,0.4937,0.4875
bail,GAT+FAME,50,1889,906,983,374,342,374,342,532,641,0.2547,0.1192,0.2823,0.1301,0.2292,0.1093,0.6449,0.2980,0.6222,0.2954,0.0273,0.0157,0.0196,0.0127
bail,GAT+FAME+PFR,11,1889,906,983,374,342,374,342,532,641,0.2659,0.1365,0.2932,0.1503,0.2407,0.1237,0.6585,0.3416,0.6419,0.3342,0.0364,0.0217,0.0267,0.0168
bail,GAT+PFR,11,1889,906,983,374,342,374,342,532,641,0.4543,0.5220,0.4544,0.5221,0.4542,0.5218,0.4545,0.5222,0.4545,0.5222,0.4544,0.5220,0.4540,0.5216
bail,GCN,50,1889,906,983,374,342,374,342,532,641,0.1334,0.1712,0.1432,0.1754,0.1245,0.1680,0.2496,0.2446,0.2454,0.2432,0.0683,0.1487,0.0600,0.1477
bail,GCN+FAME,50,1889,906,983,374,342,374,342,532,641,0.0157,0.0085,0.0196,0.0096,0.0121,0.0076,0.0357,0.0214,0.0296,0.0198,0.0083,0.0031,0.0028,0.0015
bail,GCN+FAME+PFR,11,1889,906,983,374,342,374,342,532,641,0.1465,0.3091,0.1429,0.2953,0.1499,0.3219,0.1215,0.2624,0.1356,0.2948,0.1579,0.3202,0.1576,0.3376
bail,GCN+PFR,11,1889,906,983,374,342,374,342,532,641,0.0825,0.0896,0.0906,0.0934,0.0751,0.0864,0.1736,0.1807,0.1629,0.1748,0.0323,0.0349,0.0282,0.0419
bail,GIN,50,1889,906,983,374,342,374,342,532,641,0.4747,0.1312,0.5041,0.1253,0.4477,0.1369,0.9372,0.0274,0.9077,0.0387,0.1995,0.1969,0.2023,0.1922
bail,GIN+PFR,11,1889,906,983,374,342,374,342,532,641,0.5986,0.1974,0.6241,0.1869,0.5750,0.2072,0.9584,0.0296,0.9394,0.0405,0.3891,0.2984,0.3807,0.2971
credit,GAT,50,3001,2730,271,2151,186,2151,186,579,85,0.7009,0.4138,0.7012,0.4130,0.6985,0.4242,0.7034,0.4127,0.7003,0.4264,0.6929,0.4168,0.6944,0.4228
credit,GAT+FAME,50,3001,2730,271,2151,186,2151,186,579,85,0.9830,0.0577,0.9828,0.0578,0.9856,0.0623,0.9826,0.0576,0.9835,0.0692,0.9835,0.0586,0.9901,0.0483
credit,GAT+FAME+PFR,11,3001,2730,271,2151,186,2151,186,579,85,0.9879,0.0273,0.9873,0.0285,0.9943,0.0154,0.9867,0.0297,0.9927,0.0193,0.9895,0.0239,0.9979,0.0071
credit,GAT+PFR,11,3001,2730,271,2151,186,2151,186,579,85,0.7015,0.3641,0.7031,0.3619,0.6853,0.3920,0.7012,0.3619,0.6774,0.4003,0.7102,0.3625,0.7027,0.3750
credit,GCN,50,3001,2730,271,2151,186,2151,186,579,85,0.9482,0.1232,0.9491,0.1195,0.9388,0.1672,0.9509,0.1132,0.9444,0.1550,0.9424,0.1448,0.9266,0.1968
credit,GCN+FAME,50,3001,2730,271,2151,186,2151,186,579,85,0.9983,0.0014,0.9993,0.0003,0.9883,0.0158,0.9995,0.0003,0.9854,0.0204,0.9985,0.0006,0.9946,0.0076
credit,GCN+FAME+PFR,11,3001,2730,271,2151,186,2151,186,579,85,0.9989,0.0009,0.9993,0.0004,0.9946,0.0100,0.9995,0.0003,0.9936,0.0122,0.9986,0.0007,0.9968,0.0055
credit,GCN+PFR,11,3001,2730,271,2151,186,2151,186,579,85,0.9826,0.0251,0.9824,0.0262,0.9852,0.0148,0.9813,0.0303,0.9858,0.0185,0.9865,0.0177,0.9840,0.0121
credit,GIN,50,3001,2730,271,2151,186,2151,186,579,85,1.0000,0.0001,1.0000,0.0001,1.0000,0.0000,1.0000,0.0001,1.0000,0.0000,1.0000,0.0002,1.0000,0.0000
credit,GIN+PFR,11,3001,2730,271,2151,186,2151,186,579,85,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
german,GAT,50,101,81,20,58,15,58,15,23,5,0.5400,0.5035,0.5400,0.5035,0.5400,0.5035,0.5400,0.5035,0.5400,0.5035,0.5400,0.5035,0.5400,0.5035
german,GAT+FAME,50,101,81,20,58,15,58,15,23,5,0.8224,0.3305,0.8207,0.3358,0.8290,0.3141,0.8210,0.3372,0.8253,0.3158,0.8200,0.3349,0.8400,0.3182
german,GAT+FAME+PFR,11,101,81,20,58,15,58,15,23,5,0.8290,0.3493,0.8238,0.3518,0.8500,0.3428,0.8292,0.3497,0.8485,0.3452,0.8103,0.3587,0.8545,0.3357
german,GAT+PFR,11,101,81,20,58,15,58,15,23,5,0.3636,0.5045,0.3636,0.5045,0.3636,0.5045,0.3636,0.5045,0.3636,0.5045,0.3636,0.5045,0.3636,0.5045
german,GCN,50,101,81,20,58,15,58,15,23,5,0.7269,0.4447,0.7267,0.4449,0.7280,0.4440,0.7269,0.4447,0.7267,0.4451,0.7261,0.4457,0.7320,0.4419
german,GCN+FAME,50,101,81,20,58,15,58,15,23,5,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
german,GCN+FAME+PFR,11,101,81,20,58,15,58,15,23,5,0.9973,0.0046,0.9966,0.0058,1.0000,0.0000,0.9953,0.0081,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
german,GCN+PFR,11,101,81,20,58,15,58,15,23,5,0.8398,0.3604,0.8395,0.3609,0.8409,0.3583,0.8417,0.3569,0.8364,0.3668,0.8340,0.3714,0.8545,0.3357
german,GIN,50,101,81,20,58,15,58,15,23,5,0.9655,0.0879,0.9726,0.0762,0.9370,0.1428,0.9721,0.0784,0.9387,0.1346,0.9739,0.0724,0.9320,0.1743
german,GIN+PFR,11,101,81,20,58,15,58,15,23,5,0.9991,0.0030,1.0000,0.0000,0.9955,0.0151,1.0000,0.0000,0.9939,0.0201,1.0000,0.0000,1.0000,0.0000
