dataset,model,n_seeds,Accuracy_mean,Accuracy_std,Accuracy,Accuracy_ci_low,Accuracy_ci_high,SPD_mean,SPD_std,SPD,SPD_ci_low,SPD_ci_high,EOD_mean,EOD_std,EOD,EOD_ci_low,EOD_ci_high,OAED_mean,OAED_std,OAED,OAED_ci_low,OAED_ci_high,TED_mean,TED_std,TED,TED_ci_low,TED_ci_high,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall_mean,diagnostics_pred_pos_overall_std,diagnostics_pred_pos_S0_mean,diagnostics_pred_pos_S0_std,diagnostics_pred_pos_S1_mean,diagnostics_pred_pos_S1_std,diagnostics_TPR_S0_mean,diagnostics_TPR_S0_std,diagnostics_TPR_S1_mean,diagnostics_TPR_S1_std,diagnostics_FPR_S0_mean,diagnostics_FPR_S0_std,diagnostics_FPR_S1_mean,diagnostics_FPR_S1_std
bail,GAT,50,0.5034,0.1259,0.5034 ± 0.1259,0.4691,0.5378,0.0043,0.0140,0.0043 ± 0.0140,0.0009,0.0085,0.0041,0.0125,0.0041 ± 0.0125,0.0011,0.0080,0.0624,0.0103,0.0624 ± 0.0103,0.0591,0.0648,0.1360,0.6998,0.1360 ± 0.6998,0.0019,0.3589,1889,906,983,374,342,374,342,532,641,0.4964,0.4842,0.4973,0.4842,0.4955,0.4842,0.5004,0.4826,0.4989,0.4816,0.4951,0.4883,0.4937,0.4875
bail,GAT+FAME,50,0.8470,0.1059,0.8470 ± 0.1059,0.8162,0.8745,0.0530,0.0224,0.0530 ± 0.0224,0.0467,0.0589,0.0228,0.0173,0.0228 ± 0.0173,0.0185,0.0276,0.0193,0.0199,0.0193 ± 0.0199,0.0141,0.0247,3.2600,6.3513,3.2600 ± 6.3513,1.7464,5.3451,1889,906,983,374,342,374,342,532,641,0.2547,0.1192,0.2823,0.1301,0.2292,0.1093,0.6449,0.2980,0.6222,0.2954,0.0273,0.0157,0.0196,0.0127
bail,GAT+FAME+PFR,11,0.8483,0.1204,0.8483 ± 0.1204,0.7751,0.9096,0.0525,0.0271,0.0525 ± 0.0271,0.0361,0.0661,0.0165,0.0107,0.0165 ± 0.0107,0.0103,0.0225,0.0204,0.0231,0.0204 ± 0.0231,0.0088,0.0356,0.6570,0.8879,0.6570 ± 0.8879,0.2538,1.2402,1889,906,983,374,342,374,342,532,641,0.2659,0.1365,0.2932,0.1503,0.2407,0.1237,0.6585,0.3416,0.6419,0.3342,0.0364,0.0217,0.0267,0.0168
bail,GAT+PFR,11,0.5112,0.1261,0.5112 ± 0.1261,0.4453,0.5772,0.0003,0.0009,0.0003 ± 0.0009,0.0000,0.0008,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0646,0.0009,0.0646 ± 0.0009,0.0641,0.0649,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,1889,906,983,374,342,374,342,532,641,0.4543,0.5220,0.4544,0.5221,0.4542,0.5218,0.4545,0.5222,0.4545,0.5222,0.4544,0.5220,0.4540,0.5216
bail,GCN,50,0.6752,0.0678,0.6752 ± 0.0678,0.6553,0.6929,0.0206,0.0214,0.0206 ± 0.0214,0.0148,0.0266,0.0142,0.0124,0.0142 ± 0.0124,0.0108,0.0176,0.0524,0.0153,0.0524 ± 0.0153,0.0479,0.0563,26.8788,57.6181,26.8788 ± 57.6181,13.6362,44.5257,1889,906,983,374,342,374,342,532,641,0.1334,0.1712,0.1432,0.1754,0.1245,0.1680,0.2496,0.2446,0.2454,0.2432,0.0683,0.1487,0.0600,0.1477
bail,GCN+FAME,50,0.6301,0.0072,0.6301 ± 0.0072,0.6282,0.6321,0.0074,0.0028,0.0074 ± 0.0028,0.0066,0.0082,0.0064,0.0043,0.0064 ± 0.0043,0.0052,0.0076,0.0635,0.0031,0.0635 ± 0.0031,0.0627,0.0643,112.0991,81.1546,112.0991 ± 81.1546,91.1578,135.5666,1889,906,983,374,342,374,342,532,641,0.0157,0.0085,0.0196,0.0096,0.0121,0.0076,0.0357,0.0214,0.0296,0.0198,0.0083,0.0031,0.0028,0.0015
bail,GCN+FAME+PFR,11,0.5716,0.1022,0.5716 ± 0.1022,0.5043,0.6186,0.0155,0.0235,0.0155 ± 0.0235,0.0040,0.0308,0.0176,0.0314,0.0176 ± 0.0314,0.0028,0.0368,0.0600,0.0211,0.0600 ± 0.0211,0.0458,0.0695,9.3056,21.6391,9.3056 ± 21.6391,0.5499,22.6929,1889,906,983,374,342,374,342,532,641,0.1465,0.3091,0.1429,0.2953,0.1499,0.3219,0.1215,0.2624,0.1356,0.2948,0.1579,0.3202,0.1576,0.3376
bail,GCN+PFR,11,0.6662,0.0468,0.6662 ± 0.0468,0.6416,0.6952,0.0155,0.0139,0.0155 ± 0.0139,0.0084,0.0233,0.0130,0.0103,0.0130 ± 0.0103,0.0075,0.0190,0.0505,0.0212,0.0505 ± 0.0212,0.0378,0.0611,34.1426,57.2497,34.1426 ± 57.2497,9.6739,71.7177,1889,906,983,374,342,374,342,532,641,0.0825,0.0896,0.0906,0.0934,0.0751,0.0864,0.1736,0.1807,0.1629,0.1748,0.0323,0.0349,0.0282,0.0419
bail,GIN,50,0.8460,0.1103,0.8460 ± 0.1103,0.8153,0.8738,0.0564,0.0153,0.0564 ± 0.0153,0.0522,0.0603,0.0295,0.0134,0.0295 ± 0.0134,0.0258,0.0332,0.0211,0.0117,0.0211 ± 0.0117,0.0180,0.0244,0.1391,0.2780,0.1391 ± 0.2780,0.0722,0.2223,1889,906,983,374,342,374,342,532,641,0.4747,0.1312,0.5041,0.1253,0.4477,0.1369,0.9372,0.0274,0.9077,0.0387,0.1995,0.1969,0.2023,0.1922
bail,GIN+PFR,11,0.7420,0.1723,0.7420 ± 0.1723,0.6437,0.8313,0.0491,0.0224,0.0491 ± 0.0224,0.0350,0.0605,0.0190,0.0126,0.0190 ± 0.0126,0.0121,0.0259,0.0237,0.0190,0.0237 ± 0.0190,0.0140,0.0351,0.0275,0.0262,0.0275 ± 0.0262,0.0127,0.0428,1889,906,983,374,342,374,342,532,641,0.5986,0.1974,0.6241,0.1869,0.5750,0.2072,0.9584,0.0296,0.9394,0.0405,0.3891,0.2984,0.3807,0.2971
credit,GAT,50,0.6155,0.2308,0.6155 ± 0.2308,0.5506,0.6791,0.0206,0.0391,0.0206 ± 0.0391,0.0107,0.0321,0.0234,0.0449,0.0234 ± 0.0449,0.0119,0.0371,0.0892,0.0234,0.0892 ± 0.0234,0.0826,0.0952,1.3287,3.6350,1.3287 ± 3.6350,0.4817,2.4684,3001,2730,271,2151,186,2151,186,579,85,0.7009,0.4138,0.7012,0.4130,0.6985,0.4242,0.7034,0.4127,0.7003,0.4264,0.6929,0.4168,0.6944,0.4228
credit,GAT+FAME,50,0.7687,0.0328,0.7687 ± 0.0328,0.7587,0.7764,0.0085,0.0243,0.0085 ± 0.0243,0.0030,0.0161,0.0078,0.0249,0.0078 ± 0.0249,0.0028,0.0155,0.0995,0.0093,0.0995 ± 0.0093,0.0969,0.1022,0.0431,0.1587,0.0431 ± 0.1587,0.0120,0.0931,3001,2730,271,2151,186,2151,186,579,85,0.9830,0.0577,0.9828,0.0578,0.9856,0.0623,0.9826,0.0576,0.9835,0.0692,0.9835,0.0586,0.9901,0.0483
credit,GAT+FAME+PFR,11,0.7708,0.0177,0.7708 ± 0.0177,0.7599,0.7780,0.0072,0.0137,0.0072 ± 0.0137,0.0006,0.0161,0.0064,0.0112,0.0064 ± 0.0112,0.0009,0.0138,0.0977,0.0077,0.0977 ± 0.0077,0.0931,0.1012,0.0363,0.0772,0.0363 ± 0.0772,0.0033,0.0841,3001,2730,271,2151,186,2151,186,579,85,0.9879,0.0273,0.9873,0.0285,0.9943,0.0154,0.9867,0.0297,0.9927,0.0193,0.9895,0.0239,0.9979,0.0071
credit,GAT+PFR,11,0.6089,0.2036,0.6089 ± 0.2036,0.4920,0.7166,0.0482,0.0554,0.0482 ± 0.0554,0.0188,0.0809,0.0540,0.0621,0.0540 ± 0.0621,0.0206,0.0910,0.0776,0.0304,0.0776 ± 0.0304,0.0597,0.0948,15.8016,49.7714,15.8016 ± 49.7714,0.3322,46.1215,3001,2730,271,2151,186,2151,186,579,85,0.7015,0.3641,0.7031,0.3619,0.6853,0.3920,0.7012,0.3619,0.6774,0.4003,0.7102,0.3625,0.7027,0.3750
credit,GCN,50,0.7533,0.0579,0.7533 ± 0.0579,0.7361,0.7676,0.0254,0.0599,0.0254 ± 0.0599,0.0112,0.0441,0.0234,0.0523,0.0234 ± 0.0523,0.0105,0.0393,0.0905,0.0193,0.0905 ± 0.0193,0.0845,0.0954,0.2554,0.9012,0.2554 ± 0.9012,0.0697,0.5446,3001,2730,271,2151,186,2151,186,579,85,0.9482,0.1232,0.9491,0.1195,0.9388,0.1672,0.9509,0.1132,0.9444,0.1550,0.9424,0.1448,0.9266,0.1968
credit,GCN+FAME,50,0.7779,0.0011,0.7779 ± 0.0011,0.7776,0.7782,0.0119,0.0151,0.0119 ± 0.0151,0.0078,0.0162,0.0148,0.0199,0.0148 ± 0.0199,0.0095,0.0206,0.1098,0.0125,0.1098 ± 0.0125,0.1065,0.1133,0.0330,0.0434,0.0330 ± 0.0434,0.0219,0.0451,3001,2730,271,2151,186,2151,186,579,85,0.9983,0.0014,0.9993,0.0003,0.9883,0.0158,0.9995,0.0003,0.9854,0.0204,0.9985,0.0006,0.9946,0.0076
credit,GCN+FAME+PFR,11,0.7784,0.0006,0.7784 ± 0.0006,0.7780,0.7787,0.0057,0.0094,0.0057 ± 0.0094,0.0008,0.0119,0.0066,0.0118,0.0066 ± 0.0118,0.0017,0.0145,0.1049,0.0069,0.1049 ± 0.0069,0.1015,0.1089,0.0149,0.0256,0.0149 ± 0.0256,0.0019,0.0298,3001,2730,271,2151,186,2151,186,579,85,0.9989,0.0009,0.9993,0.0004,0.9946,0.0100,0.9995,0.0003,0.9936,0.0122,0.9986,0.0007,0.9968,0.0055
credit,GCN+PFR,11,0.7675,0.0209,0.7675 ± 0.0209,0.7532,0.7766,0.0099,0.0108,0.0099 ± 0.0108,0.0046,0.0170,0.0088,0.0112,0.0088 ± 0.0112,0.0035,0.0159,0.0944,0.0113,0.0944 ± 0.0113,0.0869,0.0998,0.0440,0.0753,0.0440 ± 0.0753,0.0089,0.0895,3001,2730,271,2151,186,2151,186,579,85,0.9826,0.0251,0.9824,0.0262,0.9852,0.0148,0.9813,0.0303,0.9858,0.0185,0.9865,0.0177,0.9840,0.0121
credit,GIN,50,0.7787,0.0000,0.7787 ± 0.0000,0.7787,0.7787,0.0000,0.0001,0.0000 ± 0.0001,0.0000,0.0000,0.0000,0.0001,0.0000 ± 0.0001,0.0000,0.0000,0.1016,0.0000,0.1016 ± 0.0000,0.1016,0.1016,0.0000,0.0002,0.0000 ± 0.0002,0.0000,0.0001,3001,2730,271,2151,186,2151,186,579,85,1.0000,0.0001,1.0000,0.0001,1.0000,0.0000,1.0000,0.0001,1.0000,0.0000,1.0000,0.0002,1.0000,0.0000
credit,GIN+PFR,11,0.7787,0.0000,0.7787 ± 0.0000,0.7787,0.7787,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.1016,0.0000,0.1016 ± 0.0000,0.1016,0.1016,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,3001,2730,271,2151,186,2151,186,579,85,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
german,GAT,50,0.5178,0.2243,0.5178 ± 0.2243,0.4554,0.5802,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0340,0.0000,0.0340 ± 0.0000,0.0340,0.0340,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,101,81,20,58,15,58,15,23,5,0.5400,0.5035,0.5400,0.5035,0.5400,0.5035,0.5400,0.5035,0.5400,0.5035,0.5400,0.5035,0.5400,0.5035
german,GAT+FAME,50,0.6430,0.1488,0.6430 ± 0.1488,0.5978,0.6810,0.0305,0.0602,0.0305 ± 0.0602,0.0162,0.0487,0.0391,0.0713,0.0391 ± 0.0713,0.0214,0.0596,0.0509,0.0410,0.0509 ± 0.0410,0.0406,0.0622,0.8447,2.7695,0.8447 ± 2.7695,0.1881,1.6909,101,81,20,58,15,58,15,23,5,0.8224,0.3305,0.8207,0.3358,0.8290,0.3141,0.8210,0.3372,0.8253,0.3158,0.8200,0.3349,0.8400,0.3182
german,GAT+FAME+PFR,11,0.6526,0.1546,0.6526 ± 0.1546,0.5571,0.7228,0.0262,0.0555,0.0262 ± 0.0555,0.0011,0.0588,0.0193,0.0430,0.0193 ± 0.0430,0.0000,0.0444,0.0349,0.0105,0.0349 ± 0.0105,0.0293,0.0415,0.3558,1.0193,0.3558 ± 1.0193,0.0000,0.9740,101,81,20,58,15,58,15,23,5,0.8290,0.3493,0.8238,0.3518,0.8500,0.3428,0.8292,0.3497,0.8485,0.3452,0.8103,0.3587,0.8545,0.3357
german,GAT+PFR,11,0.4392,0.2248,0.4392 ± 0.2248,0.3177,0.5608,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0340,0.0000,0.0340 ± 0.0000,0.0340,0.0340,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,101,81,20,58,15,58,15,23,5,0.3636,0.5045,0.3636,0.5045,0.3636,0.5045,0.3636,0.5045,0.3636,0.5045,0.3636,0.5045,0.3636,0.5045
german,GCN,50,0.6010,0.1982,0.6010 ± 0.1982,0.5449,0.6543,0.0018,0.0113,0.0018 ± 0.0113,0.0000,0.0052,0.0005,0.0026,0.0005 ± 0.0026,0.0000,0.0013,0.0352,0.0070,0.0352 ± 0.0070,0.0340,0.0376,0.0448,0.3165,0.0448 ± 0.3165,0.0000,0.1343,101,81,20,58,15,58,15,23,5,0.7269,0.4447,0.7267,0.4449,0.7280,0.4440,0.7269,0.4447,0.7267,0.4451,0.7261,0.4457,0.7320,0.4419
german,GCN+FAME,50,0.7228,0.0000,0.7228 ± 0.0000,0.7228,0.7228,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,0.0340,0.0000,0.0340 ± 0.0000,0.0340,0.0340,0.0000,0.0000,0.0000 ± 0.0000,0.0000,0.0000,101,81,20,58,15,58,15,23,5,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
german,GCN+FAME+PFR,11,0.7201,0.0046,0.7201 ± 0.0046,0.7174,0.7228,0.0034,0.0058,0.0034 ± 0.0058,0.0000,0.0067,0.0047,0.0081,0.0047 ± 0.0081,0.0000,0.0094,0.0373,0.0058,0.0373 ± 0.0058,0.0340,0.0407,0.0119,0.0203,0.0119 ± 0.0203,0.0000,0.0237,101,81,20,58,15,58,15,23,5,0.9973,0.0046,0.9966,0.0058,1.0000,0.0000,0.9953,0.0081,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
german,GCN+PFR,11,0.6526,0.1584,0.6526 ± 0.1584,0.5527,0.7228,0.0014,0.0047,0.0014 ± 0.0047,0.0000,0.0042,0.0053,0.0177,0.0053 ± 0.0177,0.0000,0.0160,0.0418,0.0259,0.0418 ± 0.0259,0.0340,0.0574,0.4318,1.4322,0.4318 ± 1.4322,0.0000,1.2955,101,81,20,58,15,58,15,23,5,0.8398,0.3604,0.8395,0.3609,0.8409,0.3583,0.8417,0.3569,0.8364,0.3668,0.8340,0.3714,0.8545,0.3357
german,GIN,50,0.7069,0.0400,0.7069 ± 0.0400,0.6950,0.7162,0.0361,0.0783,0.0361 ± 0.0783,0.0164,0.0589,0.0344,0.0716,0.0344 ± 0.0716,0.0157,0.0557,0.0381,0.0155,0.0381 ± 0.0155,0.0342,0.0426,0.3230,1.0544,0.3230 ± 1.0544,0.0871,0.6526,101,81,20,58,15,58,15,23,5,0.9655,0.0879,0.9726,0.0762,0.9370,0.1428,0.9721,0.0784,0.9387,0.1346,0.9739,0.0724,0.9320,0.1743
german,GIN+PFR,11,0.7219,0.0030,0.7219 ± 0.0030,0.7201,0.7228,0.0045,0.0151,0.0045 ± 0.0151,0.0000,0.0136,0.0061,0.0201,0.0061 ± 0.0201,0.0000,0.0182,0.0323,0.0054,0.0323 ± 0.0054,0.0291,0.0340,0.0182,0.0603,0.0182 ± 0.0603,0.0000,0.0545,101,81,20,58,15,58,15,23,5,0.9991,0.0030,1.0000,0.0000,0.9955,0.0151,1.0000,0.0000,0.9939,0.0201,1.0000,0.0000,1.0000,0.0000
